customerID,Contract,tenure,MonthlyCharges,Churn,rule_risk_score,ChurnProbability,RiskTier
8108-UXRQN,Month-to-month,11,50.55,No,6,0.548,High
9191-MYQKX,Month-to-month,7,75.15,Yes,8,0.77,Critical
9919-YLNNG,Month-to-month,42,103.8,No,5,0.588,High
0318-ZOPWS,Two year,49,20.15,No,0,0.023,Low
4445-ZJNMU,Month-to-month,9,99.3,No,8,0.882,Critical
4808-YNLEU,One year,35,62.15,No,1,0.233,Medium
1862-QRWPE,Two year,48,20.65,No,0,0.013,Low
2796-NNUFI,Two year,46,19.95,No,0,0.025,Low
3016-KSVCP,Month-to-month,29,33.75,No,4,0.495,High
4767-HZZHQ,Month-to-month,30,82.05,No,6,0.461,High
2424-WVHPL,Month-to-month,1,74.7,No,7,0.737,Critical
7233-PAHHL,Two year,66,84.0,No,1,0.066,Low
6067-NGCEU,Month-to-month,65,111.05,No,6,0.565,High
9848-JQJTX,Two year,72,100.9,No,3,0.207,Medium
8637-XJIVR,Month-to-month,12,78.95,Yes,8,0.752,Critical
9803-FTJCG,One year,71,66.85,No,0,0.049,Low
0278-YXOOG,Month-to-month,5,21.05,Yes,5,0.386,Medium
3212-KXOCR,Two year,52,21.0,No,0,0.014,Low
4598-XLKNJ,Month-to-month,25,98.5,Yes,6,0.822,Critical
6380-ARCEH,Month-to-month,1,20.2,No,5,0.42,High
3679-XASPY,Month-to-month,1,19.45,No,5,0.334,Medium
7123-WQUHX,One year,38,95.0,No,2,0.352,Medium
5386-THSLQ,One year,66,45.55,No,1,0.093,Low
3192-NQECA,Two year,68,110.0,Yes,2,0.188,Low
6180-YBIQI,Month-to-month,5,24.3,No,6,0.649,High
6728-DKUCO,One year,72,104.15,No,3,0.27,Medium
9750-BOOHV,One year,32,30.15,No,1,0.156,Low
8597-CWYHH,One year,43,94.35,No,3,0.545,High
2848-YXSMW,Two year,72,19.4,No,0,0.005,Low
0486-HECZI,Month-to-month,55,96.75,Yes,6,0.558,High
4549-ZDQYY,One year,52,57.95,No,0,0.052,Low
5712-AHQNN,Month-to-month,43,91.65,No,6,0.643,High
4846-WHAFZ,Month-to-month,37,76.5,Yes,6,0.753,Critical
5256-SKJGO,Two year,64,54.6,No,0,0.049,Low
3071-VBYPO,Month-to-month,3,89.85,No,8,0.635,High
9560-BBZXK,Two year,36,31.05,No,1,0.054,Low
5299-RULOA,Month-to-month,10,100.25,Yes,8,0.821,Critical
8402-OOOHJ,Two year,41,20.65,No,0,0.027,Low
9445-ZUEQE,Month-to-month,27,85.2,No,5,0.571,High
1091-SOZGA,One year,56,99.8,No,3,0.462,High
2928-HLDBA,Month-to-month,6,20.7,No,5,0.37,Medium
0404-SWRVG,Month-to-month,3,74.4,Yes,8,0.864,Critical
6497-TILVL,Month-to-month,7,50.7,No,6,0.449,High
7219-TLZHO,Month-to-month,4,20.85,No,5,0.331,Medium
4622-YNKIJ,Two year,33,88.95,No,2,0.184,Low
4412-YLTKF,Month-to-month,27,78.05,Yes,6,0.785,Critical
6734-PSBAW,Two year,72,23.55,No,0,0.013,Low
3930-ZGWVE,Month-to-month,1,19.75,No,5,0.418,High
2639-UGMAZ,One year,71,56.45,No,1,0.137,Low
2876-GZYZC,Month-to-month,13,85.95,No,6,0.868,Critical
6207-WIOLX,Month-to-month,25,58.6,Yes,4,0.46,High
8587-XYZSF,Two year,67,50.55,No,0,0.021,Low
3091-FYHKI,Month-to-month,1,35.45,Yes,6,0.801,Critical
2372-HWUHI,Month-to-month,2,44.35,Yes,6,0.641,High
7799-LGRDP,Two year,43,25.7,No,0,0.045,Low
7850-VWJUU,Month-to-month,23,75.0,No,6,0.587,High
3774-VBNXY,Two year,64,20.2,No,0,0.008,Low
6217-KDYWC,Two year,57,19.6,No,0,0.017,Low
0390-DCFDQ,Month-to-month,1,70.45,Yes,8,0.871,Critical
3146-MSEGF,Two year,72,88.05,No,1,0.052,Low
4080-OGPJL,Month-to-month,8,71.15,Yes,6,0.537,High
1095-WGNGG,Two year,61,101.05,No,3,0.267,Medium
2636-SJDOU,One year,64,84.3,No,3,0.204,Medium
1131-QQZEB,Two year,71,23.95,No,0,0.012,Low
5716-EZXZN,Two year,65,99.05,No,2,0.08,Low
6837-BJYDQ,One year,3,19.6,No,2,0.225,Medium
2135-RXIHG,Month-to-month,1,45.65,Yes,6,0.74,Critical
6440-DKQGE,One year,30,64.5,No,1,0.198,Low
3466-BYAVD,Month-to-month,15,69.5,No,3,0.522,High
3780-YVMFA,Month-to-month,8,68.55,No,5,0.656,High
3874-EQOEP,Month-to-month,7,95.0,Yes,8,0.878,Critical
1679-JRFBR,One year,70,108.15,No,3,0.282,Medium
9073-ZZIAY,Two year,62,86.1,No,1,0.03,Low
3077-RSNTJ,Month-to-month,6,19.7,No,5,0.309,Medium
6551-GNYDG,Month-to-month,14,80.9,No,6,0.752,Critical
9167-APMXZ,Month-to-month,22,84.15,No,6,0.802,Critical
2749-CTKAJ,One year,22,20.15,No,0,0.095,Low
6371-NZYEG,Two year,16,64.25,No,1,0.127,Low
7554-NEWDD,Two year,10,25.7,No,2,0.096,Low
8992-VONJD,Month-to-month,13,56.0,No,4,0.447,High
0867-MKZVY,Month-to-month,20,82.4,Yes,6,0.635,High
4482-EWFMI,Month-to-month,2,69.7,No,7,0.826,Critical
4648-YPBTM,Two year,53,73.9,No,1,0.086,Low
2907-ILJBN,One year,11,20.6,No,2,0.141,Low
6345-FZOQH,Two year,69,19.9,No,0,0.009,Low
3376-BMGFE,Month-to-month,4,70.9,Yes,8,0.797,Critical
5997-OPVFA,Two year,72,89.05,No,1,0.05,Low
3445-HXXGF,Month-to-month,58,45.3,Yes,4,0.358,Medium
1159-WFSGR,Month-to-month,16,20.4,No,3,0.219,Medium
7654-YWJUF,One year,43,84.25,No,2,0.187,Low
1875-QIVME,Month-to-month,2,104.4,Yes,7,0.875,Critical
6727-IOTLZ,Two year,14,81.95,No,1,0.208,Medium
0691-JVSYA,One year,53,94.85,Yes,3,0.439,High
5918-VUKWP,One year,32,20.55,No,0,0.067,Low
1744-JHKYS,Month-to-month,34,24.7,No,3,0.193,Low
2656-FMOKZ,Month-to-month,15,74.45,Yes,6,0.857,Critical
2070-FNEXE,Month-to-month,7,76.45,Yes,8,0.66,High
5947-SGKCL,Month-to-month,15,105.35,No,6,0.816,Critical
3712-PKXZA,One year,61,20.55,No,0,0.036,Low
6317-YPKDH,Month-to-month,1,29.95,Yes,6,0.595,High
6582-OIVSP,Month-to-month,1,45.3,No,6,0.667,High
9367-WXLCH,Month-to-month,8,84.5,Yes,8,0.806,Critical
5524-KHNJP,One year,33,74.75,No,2,0.19,Low
1918-ZBFQJ,Month-to-month,13,79.25,Yes,6,0.741,Critical
1024-GUALD,Month-to-month,1,24.8,Yes,6,0.749,Critical
4827-USJHP,Month-to-month,20,51.8,No,4,0.586,High
8167-GJLRN,Month-to-month,3,30.4,No,5,0.559,High
0956-SYCWG,One year,13,19.65,No,0,0.15,Low
8017-UVSZU,Month-to-month,40,56.6,No,4,0.366,Medium
7100-FQPRV,One year,43,71.9,No,1,0.166,Low
2472-OVKUP,Month-to-month,6,91.0,Yes,8,0.827,Critical
2984-RGEYA,Two year,69,19.75,No,0,0.005,Low
9680-NIAUV,Two year,72,109.7,No,3,0.101,Low
2146-EGVDT,Two year,59,19.3,No,0,0.009,Low
2604-IJPDU,Month-to-month,20,96.55,No,5,0.597,High
9178-JHUVJ,Two year,24,24.1,No,0,0.064,Low
6168-YBYNP,Month-to-month,59,111.35,No,5,0.636,High
7255-SSFBC,Two year,72,112.25,No,2,0.147,Low
3645-DEYGF,Month-to-month,1,20.75,No,5,0.362,Medium
9323-HGFWY,One year,27,101.9,No,2,0.442,High
8544-GOQSH,Month-to-month,14,80.05,No,5,0.643,High
3363-DTIVD,Two year,71,105.55,No,3,0.118,Low
7018-WBJNK,Month-to-month,13,78.3,No,6,0.762,Critical
9142-KZXOP,Month-to-month,44,68.85,No,5,0.445,High
7674-YTAFD,One year,33,79.95,No,2,0.3,Medium
6348-SNFUS,Two year,72,55.45,No,0,0.019,Low
1285-OKIPP,Month-to-month,1,79.9,Yes,8,0.815,Critical
7825-ECJRF,Month-to-month,19,106.6,Yes,5,0.694,High
1347-KTTTA,One year,64,102.45,No,2,0.285,Medium
7841-TZDMQ,Month-to-month,2,46.0,Yes,6,0.718,Critical
4195-NZGTA,Month-to-month,1,25.25,No,6,0.668,High
7157-SMCFK,Two year,61,19.75,No,0,0.009,Low
4709-LKHYG,One year,29,20.0,No,0,0.067,Low
2504-DSHIH,Month-to-month,23,86.8,No,6,0.81,Critical
0699-NDKJM,Month-to-month,57,58.75,No,4,0.266,Medium
9286-BHDQG,Two year,72,45.25,No,0,0.008,Low
0230-WEQUW,Two year,66,56.6,No,0,0.027,Low
2040-LDIWQ,Two year,65,84.2,No,1,0.068,Low
6496-JDSSB,Month-to-month,8,80.0,No,8,0.817,Critical
9408-SSNVZ,Month-to-month,4,70.15,Yes,8,0.818,Critical
4443-EMBNA,Two year,71,24.75,No,0,0.009,Low
6469-MRVET,One year,1,20.2,No,2,0.254,Medium
0742-MOABM,Month-to-month,4,50.05,Yes,5,0.549,High
5961-VUSRV,One year,12,19.35,No,2,0.189,Low
6778-JFCMK,One year,24,50.6,No,1,0.423,High
6341-JVQGF,One year,31,81.15,No,1,0.235,Medium
2232-DMLXU,Month-to-month,1,55.2,Yes,6,0.722,Critical
4811-JBUVU,Month-to-month,30,89.9,No,5,0.719,Critical
0945-TSONX,Two year,47,85.3,No,1,0.085,Low
2651-ZCBXV,Two year,54,108.0,No,2,0.173,Low
3316-UWXUY,Month-to-month,50,93.5,No,5,0.382,Medium
8937-RDTHP,Month-to-month,1,84.6,Yes,8,0.819,Critical
7083-MIOPC,Two year,72,20.25,No,0,0.007,Low
1984-GPTEH,Month-to-month,29,25.15,No,3,0.229,Medium
1251-KRREG,Month-to-month,2,54.4,Yes,6,0.771,Critical
0621-JFHOL,Two year,10,29.6,No,2,0.226,Medium
9903-LYSAB,Month-to-month,18,73.15,No,6,0.797,Critical
0094-OIFMO,Month-to-month,11,95.0,Yes,8,0.877,Critical
9227-UAQFT,Two year,16,19.75,No,0,0.07,Low
7301-ABVAD,Two year,72,86.6,No,1,0.055,Low
6614-FHDBO,Two year,72,109.2,No,2,0.119,Low
7576-ASEJU,One year,41,74.7,No,1,0.164,Low
9058-HRZSV,Month-to-month,65,94.4,No,6,0.35,Medium
4522-AKYLR,Month-to-month,13,54.8,No,4,0.654,High
0221-WMXNQ,Month-to-month,4,75.35,No,8,0.712,Critical
0303-UNCIP,One year,41,65.0,No,1,0.295,Medium
9947-OTFQU,Month-to-month,15,74.4,Yes,6,0.778,Critical
0322-YINQP,Month-to-month,1,48.55,Yes,6,0.653,High
0959-WHOKV,One year,42,99.0,No,3,0.426,High
4075-JFPGR,One year,51,93.5,No,3,0.274,Medium
4629-NRXKX,Month-to-month,2,70.4,Yes,8,0.714,Critical
9514-JDSKI,Month-to-month,1,40.2,Yes,6,0.741,Critical
3282-ZISZV,One year,32,83.7,No,1,0.232,Medium
3675-YDUPJ,Month-to-month,10,19.85,No,5,0.428,High
4111-BNXIF,Two year,67,59.55,No,0,0.047,Low
7017-VFHAY,Two year,61,115.1,No,2,0.09,Low
6655-LHBYW,One year,50,114.35,No,2,0.273,Medium
4959-JOSRX,Month-to-month,2,44.6,Yes,6,0.709,Critical
5046-NUHWD,Month-to-month,29,45.0,No,4,0.523,High
7273-TEFQD,Month-to-month,3,41.15,Yes,6,0.82,Critical
3606-TWKGI,Month-to-month,13,106.9,Yes,6,0.903,Critical
7529-ZDFXI,Month-to-month,57,89.85,No,6,0.676,High
7605-BDWDC,Two year,31,49.85,No,0,0.077,Low
1950-KSVVJ,One year,45,113.3,No,2,0.312,Medium
0123-CRBRT,Two year,61,88.1,No,1,0.045,Low
6292-TOSSS,Two year,50,24.9,No,0,0.021,Low
3197-ARFOY,Month-to-month,19,105.0,No,5,0.732,Critical
6323-AYBRX,Two year,59,19.35,Yes,0,0.013,Low
7014-ZZXAW,Two year,71,24.25,No,0,0.015,Low
4385-GZQXV,Month-to-month,16,94.45,Yes,5,0.826,Critical
7633-MVPUY,Two year,57,59.75,No,0,0.031,Low
6366-ZGQGL,Month-to-month,1,24.8,Yes,6,0.634,High
4716-HHKQH,Month-to-month,20,107.05,No,5,0.79,Critical
5940-AHUHD,Month-to-month,1,70.6,Yes,8,0.786,Critical
6432-TWQLB,Month-to-month,5,85.4,Yes,7,0.778,Critical
4484-GLZOU,Month-to-month,52,105.05,Yes,6,0.742,Critical
3179-GBRWV,Month-to-month,21,64.95,No,4,0.534,High
8645-KWHJO,Month-to-month,14,55.0,No,3,0.681,High
4130-MZLCC,Month-to-month,5,50.55,No,6,0.544,High
0314-TKOSI,Month-to-month,6,55.15,No,6,0.481,High
8229-MYEJZ,Month-to-month,10,51.2,No,6,0.544,High
2080-SRCDE,Month-to-month,1,25.4,No,5,0.429,High
9577-WJVCQ,Month-to-month,68,54.45,No,4,0.154,Low
9512-UIBFX,Month-to-month,18,95.15,Yes,6,0.75,Critical
6202-DYYFX,One year,22,76.0,No,3,0.605,High
3808-HFKDE,Month-to-month,20,44.35,No,4,0.584,High
5583-SXDAG,Month-to-month,1,70.0,Yes,8,0.77,Critical
3488-PGMQJ,Month-to-month,8,74.5,Yes,8,0.814,Critical
3580-REOAC,Month-to-month,10,44.85,Yes,6,0.653,High
7534-BFESC,Month-to-month,24,76.1,Yes,6,0.814,Critical
3727-OWVYD,One year,35,61.2,No,1,0.135,Low
2294-SALNE,One year,23,86.8,No,2,0.275,Medium
4847-TAJYI,Month-to-month,6,89.35,No,8,0.902,Critical
1563-IWQEX,Month-to-month,12,19.7,No,5,0.312,Medium
8203-XJZRC,Month-to-month,1,20.25,No,5,0.42,High
6556-DBKZF,Two year,71,76.05,No,3,0.058,Low
6851-WEFYX,Month-to-month,35,100.8,No,6,0.857,Critical
2985-JUUBZ,Month-to-month,40,74.55,No,5,0.6,High
6390-DSAZX,Month-to-month,1,73.6,Yes,8,0.72,Critical
0895-LMRSF,One year,23,64.9,No,1,0.473,High
8098-LLAZX,Month-to-month,4,95.45,Yes,8,0.931,Critical
8266-VBFQL,Month-to-month,4,90.4,No,7,0.796,Critical
8181-YHCMF,Two year,68,60.3,No,0,0.029,Low
2240-HSJQD,Month-to-month,38,81.85,No,6,0.644,High
1248-DYXUB,Two year,52,24.8,No,0,0.019,Low
0265-EDXBD,Month-to-month,32,74.9,Yes,6,0.77,Critical
4115-BNPJY,Two year,29,75.55,No,1,0.124,Low
3167-SNQPL,Month-to-month,38,101.15,No,6,0.725,Critical
4091-TVOCN,One year,48,78.75,No,2,0.234,Medium
1098-TDVUQ,Month-to-month,1,19.25,No,5,0.453,High
7277-OZCGZ,Month-to-month,22,89.05,No,5,0.604,High
1557-EMYVT,Two year,43,115.05,No,2,0.158,Low
2799-ARNLO,Month-to-month,5,69.35,No,7,0.844,Critical
7563-BIUPC,Month-to-month,5,80.6,Yes,8,0.855,Critical
5027-YOCXN,One year,51,110.05,No,2,0.225,Medium
3973-SKMLN,Two year,71,19.9,No,0,0.01,Low
2321-OMBXY,One year,38,80.3,Yes,1,0.113,Low
2840-XANRC,Month-to-month,24,93.15,Yes,6,0.844,Critical
6745-JEFZB,Month-to-month,35,91.5,No,5,0.698,High
5020-ZSTTY,One year,54,82.45,Yes,1,0.134,Low
9880-TDQAC,Two year,72,60.0,No,0,0.04,Low
8705-WZCYL,Month-to-month,1,44.8,No,6,0.736,Critical
7102-JJVTX,One year,9,48.6,No,3,0.241,Medium
8626-PTQGE,Two year,69,60.05,No,0,0.034,Low
4983-CLMLV,Month-to-month,52,102.7,No,5,0.618,High
5701-YVSVF,Month-to-month,11,82.9,No,7,0.794,Critical
5804-LEPIM,Month-to-month,2,70.35,Yes,8,0.858,Critical
5697-GOMBF,Month-to-month,28,35.9,No,4,0.585,High
2739-CACDQ,Month-to-month,17,82.65,No,6,0.835,Critical
9385-EHGDO,Two year,35,19.85,No,0,0.039,Low
9498-FIMXL,One year,8,19.2,No,2,0.257,Medium
2379-GYFLQ,One year,46,94.9,No,3,0.482,High
0122-OAHPZ,Month-to-month,7,73.85,Yes,8,0.845,Critical
2868-SNELZ,Month-to-month,2,80.6,Yes,8,0.819,Critical
4322-RCYMT,One year,68,75.8,Yes,1,0.104,Low
6680-NENYN,Two year,43,104.6,Yes,3,0.407,High
2088-IEBAU,Two year,68,88.15,No,1,0.065,Low
7982-VCELR,Month-to-month,36,94.8,No,6,0.736,Critical
1343-EHPYB,Month-to-month,63,103.4,Yes,6,0.678,High
6035-BXTTY,Month-to-month,32,54.65,No,3,0.289,Medium
6885-PKOAM,Two year,71,85.75,No,1,0.035,Low
7520-HQWJU,Month-to-month,66,67.45,No,4,0.155,Low
9639-BUJXT,One year,63,20.5,No,0,0.026,Low
5924-SNGKP,One year,41,20.25,No,0,0.059,Low
0021-IKXGC,Month-to-month,1,72.1,No,8,0.888,Critical
2034-GDRCN,Month-to-month,2,90.4,Yes,8,0.892,Critical
8966-SNIZF,Two year,70,19.45,No,0,0.007,Low
6243-OZGFH,Month-to-month,23,44.95,No,4,0.7,High
4654-DLAMQ,One year,64,97.0,No,3,0.191,Low
0513-RBGPE,Two year,37,62.8,No,0,0.06,Low
5160-UXJED,One year,17,44.6,No,1,0.277,Medium
4115-NZRKS,Month-to-month,7,89.15,No,8,0.898,Critical
0219-YTZUE,Month-to-month,4,84.8,Yes,8,0.772,Critical
0623-IIHUG,Month-to-month,21,41.9,Yes,4,0.611,High
4572-DVCGN,Month-to-month,10,80.25,Yes,8,0.813,Critical
3351-NGXYI,Month-to-month,16,54.1,No,4,0.641,High
8984-EYLLL,Two year,64,105.25,No,2,0.227,Medium
9057-MSWCO,Month-to-month,27,30.75,Yes,4,0.362,Medium
9833-TGFHX,One year,42,97.1,No,3,0.358,Medium
9294-TDIPC,Month-to-month,5,20.2,No,5,0.323,Medium
5229-DTFYB,Two year,41,98.8,No,2,0.219,Medium
0104-PPXDV,One year,58,50.3,No,1,0.093,Low
5176-LMJXE,Two year,47,20.55,No,0,0.032,Low
3583-KRKMD,Month-to-month,18,75.9,No,5,0.64,High
1010-DIAUQ,Month-to-month,5,96.5,Yes,8,0.813,Critical
9069-LGEUL,Month-to-month,23,59.95,No,4,0.497,High
7302-ZHMHP,Month-to-month,1,19.15,No,5,0.411,High
9571-EDEBV,One year,71,98.65,No,3,0.43,High
3520-FJGCV,Two year,72,112.6,No,2,0.099,Low
6563-VRERX,One year,33,20.6,No,0,0.065,Low
0259-GBZSH,Month-to-month,2,85.65,Yes,8,0.897,Critical
6122-EFVKN,Two year,24,35.75,No,0,0.057,Low
2805-EDJPQ,One year,56,99.75,No,2,0.279,Medium
6862-CQUMB,Month-to-month,37,96.1,No,6,0.739,Critical
7156-MXBJE,One year,43,85.1,No,1,0.229,Medium
6158-HDPXZ,Month-to-month,1,25.35,No,6,0.689,High
9601-BRXPO,Month-to-month,25,104.95,Yes,5,0.776,Critical
2863-IMQDR,Two year,61,89.65,No,1,0.053,Low
5686-CMAWK,One year,17,86.75,No,2,0.456,High
5651-CRHKQ,One year,41,86.2,No,2,0.25,Medium
6905-NIQIN,Month-to-month,1,50.65,Yes,6,0.638,High
8204-YJCLA,Two year,72,64.8,No,0,0.03,Low
5167-ZFFMM,Month-to-month,1,90.85,Yes,8,0.878,Critical
6583-SZVGP,Two year,48,108.1,No,3,0.353,Medium
4895-TMWIR,Month-to-month,11,19.95,Yes,5,0.377,Medium
0533-BNWKF,Month-to-month,55,85.45,Yes,6,0.619,High
1708-PBBOA,One year,42,54.75,No,0,0.133,Low
8782-LKFPK,Month-to-month,44,90.4,No,6,0.751,Critical
5522-JBWMO,Month-to-month,1,44.0,No,6,0.588,High
3597-MVHJT,Month-to-month,27,95.6,No,6,0.836,Critical
9774-NRNAU,Month-to-month,27,84.8,No,4,0.649,High
0224-RLWWD,Month-to-month,2,44.3,No,6,0.767,Critical
9967-ATRFS,Month-to-month,19,19.9,No,3,0.256,Medium
3951-NJCVI,Month-to-month,42,95.05,No,6,0.833,Critical
2977-CEBSX,Two year,66,90.05,No,1,0.066,Low
0177-PXBAT,Month-to-month,33,109.9,No,5,0.711,Critical
6599-CEBNN,Month-to-month,34,73.95,Yes,6,0.591,High
2519-ERQOJ,Month-to-month,33,54.6,No,3,0.585,High
5876-QMYLD,One year,23,20.05,No,0,0.09,Low
2277-AXSDC,One year,32,19.75,No,0,0.066,Low
9442-JTWDL,One year,11,20.05,No,2,0.152,Low
0979-PHULV,Month-to-month,69,99.45,Yes,6,0.599,High
3067-SVMTC,One year,68,55.9,No,0,0.032,Low
5495-GPSRW,Two year,20,19.7,No,0,0.088,Low
7606-BPHHN,Two year,72,19.8,No,0,0.01,Low
4742-DRORA,One year,60,95.4,No,3,0.261,Medium
0111-KLBQG,Month-to-month,32,93.95,No,6,0.768,Critical
4800-VHZKI,Month-to-month,1,19.9,Yes,5,0.514,High
7989-CHGTL,Month-to-month,1,19.6,Yes,5,0.517,High
0334-GDDSO,Month-to-month,3,81.35,Yes,8,0.877,Critical
4163-NCJAK,One year,46,24.45,No,0,0.077,Low
5233-AOZUF,Month-to-month,29,74.95,No,6,0.744,Critical
5973-EJGDP,Month-to-month,51,87.35,No,5,0.477,High
1996-DBMUS,Month-to-month,48,70.65,No,6,0.571,High
7916-VCCPB,Month-to-month,16,73.25,No,6,0.538,High
4686-GEFRM,Two year,70,98.7,No,2,0.122,Low
5249-QYHEX,Two year,40,24.8,No,0,0.045,Low
0578-SKVMF,Month-to-month,22,83.3,Yes,6,0.609,High
5564-NEMQO,Month-to-month,1,75.3,Yes,8,0.835,Critical
2233-FAGXV,Month-to-month,5,24.3,No,5,0.485,High
5605-IYGFG,Month-to-month,7,69.85,No,7,0.779,Critical
7663-ZTEGJ,One year,29,100.55,No,2,0.339,Medium
3935-TBRZZ,One year,44,25.7,No,0,0.059,Low
8111-BKVDS,Month-to-month,10,40.7,No,6,0.397,Medium
2055-SIFSS,Month-to-month,55,51.65,No,4,0.307,Medium
2806-MLNTI,One year,52,105.1,No,3,0.567,High
8734-DKSTZ,Month-to-month,10,85.95,No,8,0.784,Critical
4360-PNRQB,Month-to-month,18,75.6,No,6,0.783,Critical
6152-ONASV,One year,68,58.25,No,0,0.041,Low
9063-ZGTUY,Month-to-month,61,19.4,Yes,3,0.068,Low
