customerID,Contract,tenure,MonthlyCharges,Churn,rule_risk_score,ChurnProbability,RiskTier,AnnualValueAtRisk,RecommendedAction
6583-KQJLK,Month-to-month,15,94.65,No,6,0.859,Critical,1135.8000000000002,Call this week: offer 1-year contract discount
5288-AHOUP,Month-to-month,11,78.5,No,8,0.858,Critical,942.0,Call this week: offer 1-year contract discount
8873-GLDMH,Month-to-month,6,73.85,No,8,0.858,Critical,886.1999999999999,Call this week: offer 1-year contract discount
6851-WEFYX,Month-to-month,35,100.8,No,6,0.857,Critical,1209.6,Call this week: offer 1-year contract discount
4884-ZTHVF,Month-to-month,8,87.1,No,8,0.857,Critical,1045.1999999999998,Call this week: offer 1-year contract discount
9799-CAYJJ,Month-to-month,2,69.3,No,7,0.856,Critical,831.5999999999999,Call this week: offer 1-year contract discount
2665-NPTGL,Month-to-month,26,98.1,No,6,0.856,Critical,1177.1999999999998,Call this week: offer 1-year contract discount
1960-UYCNN,Month-to-month,10,95.25,No,8,0.855,Critical,1143.0,Call this week: offer 1-year contract discount
0432-CAJZV,Month-to-month,3,90.7,No,8,0.855,Critical,1088.4,Call this week: offer 1-year contract discount
3001-UNBTL,Month-to-month,29,103.95,No,6,0.855,Critical,1247.4,Call this week: offer 1-year contract discount
9050-IKDZA,Month-to-month,2,81.5,No,8,0.854,Critical,978.0,Call this week: offer 1-year contract discount
3338-CVVEH,Month-to-month,12,94.55,No,8,0.854,Critical,1134.6,Call this week: offer 1-year contract discount
0644-OQMDK,Month-to-month,4,70.65,No,8,0.854,Critical,847.8000000000001,Call this week: offer 1-year contract discount
6734-GMPVK,Month-to-month,5,105.3,No,8,0.853,Critical,1263.6,Call this week: offer 1-year contract discount
8107-KNCIM,Month-to-month,14,75.1,No,6,0.853,Critical,901.1999999999999,Call this week: offer 1-year contract discount
2674-MIAHT,Month-to-month,4,80.3,No,8,0.852,Critical,963.5999999999999,Call this week: offer 1-year contract discount
2107-FBPTK,Month-to-month,30,104.1,No,6,0.852,Critical,1249.1999999999998,Call this week: offer 1-year contract discount
7044-YAACC,Month-to-month,4,70.2,No,8,0.852,Critical,842.4000000000001,Call this week: offer 1-year contract discount
1393-IMKZG,Month-to-month,1,95.85,No,7,0.851,Critical,1150.1999999999998,Call this week: offer 1-year contract discount
0840-DFEZH,Month-to-month,7,75.35,No,8,0.851,Critical,904.1999999999999,Call this week: offer 1-year contract discount
2880-FPNAE,Month-to-month,2,74.2,No,8,0.851,Critical,890.4000000000001,Call this week: offer 1-year contract discount
5652-MSDEY,Month-to-month,10,75.75,No,8,0.85,Critical,909.0,Call this week: offer 1-year contract discount
1628-BIZYP,Month-to-month,1,85.0,No,8,0.85,Critical,1020.0,Call this week: offer 1-year contract discount
8775-ERLNB,Month-to-month,1,74.3,No,8,0.849,Critical,891.5999999999999,Call this week: offer 1-year contract discount
7145-FEJWU,Month-to-month,12,105.3,No,8,0.849,Critical,1263.6,Call this week: offer 1-year contract discount
5271-DBYSJ,Month-to-month,11,79.15,No,8,0.849,Critical,949.8000000000001,Call this week: offer 1-year contract discount
6407-UTSLV,Month-to-month,2,83.8,No,8,0.848,Critical,1005.5999999999999,Call this week: offer 1-year contract discount
3422-GALYP,Month-to-month,2,79.45,No,8,0.848,Critical,953.4000000000001,Call this week: offer 1-year contract discount
7354-OIJLX,Month-to-month,9,75.85,No,8,0.847,Critical,910.1999999999999,Call this week: offer 1-year contract discount
5928-QLDHB,Month-to-month,9,76.25,No,8,0.847,Critical,915.0,Call this week: offer 1-year contract discount
1219-NNDDO,Month-to-month,9,76.85,No,8,0.846,Critical,922.1999999999999,Call this week: offer 1-year contract discount
3030-YDNRM,Month-to-month,8,74.85,No,8,0.846,Critical,898.1999999999999,Call this week: offer 1-year contract discount
9617-INGJY,Month-to-month,1,70.6,No,8,0.846,Critical,847.1999999999999,Call this week: offer 1-year contract discount
5429-LWCMV,Month-to-month,12,89.15,No,8,0.846,Critical,1069.8000000000002,Call this week: offer 1-year contract discount
3199-XGZCY,Month-to-month,8,75.25,No,8,0.845,Critical,903.0,Call this week: offer 1-year contract discount
0420-HLGXF,Month-to-month,39,99.75,No,6,0.845,Critical,1197.0,Call this week: offer 1-year contract discount
8224-DWCKX,Month-to-month,12,73.3,No,8,0.845,Critical,879.5999999999999,Call this week: offer 1-year contract discount
2799-ARNLO,Month-to-month,5,69.35,No,7,0.844,Critical,832.1999999999999,Call this week: offer 1-year contract discount
5032-MIYKT,Month-to-month,1,70.7,No,8,0.844,Critical,848.4000000000001,Call this week: offer 1-year contract discount
0168-XZKBB,Month-to-month,19,86.85,No,6,0.844,Critical,1042.1999999999998,Call this week: offer 1-year contract discount
4686-UXDML,Month-to-month,21,99.85,No,6,0.844,Critical,1198.1999999999998,Call this week: offer 1-year contract discount
2135-DQWAQ,Month-to-month,5,85.3,No,8,0.843,Critical,1023.5999999999999,Call this week: offer 1-year contract discount
8541-QVFKM,Month-to-month,8,73.5,No,8,0.842,Critical,882.0,Call this week: offer 1-year contract discount
8132-YPVBX,Month-to-month,6,85.95,No,8,0.842,Critical,1031.4,Call this week: offer 1-year contract discount
2809-ZMYOQ,Month-to-month,32,101.35,No,6,0.842,Critical,1216.1999999999998,Call this week: offer 1-year contract discount
8313-NDOIA,Month-to-month,24,104.15,No,6,0.841,Critical,1249.8000000000002,Call this week: offer 1-year contract discount
6215-NQCPY,Month-to-month,15,99.7,No,6,0.841,Critical,1196.4,Call this week: offer 1-year contract discount
9547-ITEFG,Month-to-month,9,102.6,No,8,0.841,Critical,1231.1999999999998,Call this week: offer 1-year contract discount
2235-DWLJU,Month-to-month,6,44.4,No,6,0.841,Critical,532.8,Call this week: offer 1-year contract discount
5168-MSWXT,Month-to-month,8,94.75,No,8,0.84,Critical,1137.0,Call this week: offer 1-year contract discount
2018-QKYGT,Month-to-month,1,81.05,No,8,0.839,Critical,972.5999999999999,Call this week: offer 1-year contract discount
1226-IENZN,Month-to-month,16,78.75,No,6,0.839,Critical,945.0,Call this week: offer 1-year contract discount
7363-QTBIW,Month-to-month,9,79.75,No,8,0.838,Critical,957.0,Call this week: offer 1-year contract discount
0480-BIXDE,Month-to-month,19,96.8,No,6,0.838,Critical,1161.6,Call this week: offer 1-year contract discount
1754-GKYPY,Month-to-month,22,89.75,No,6,0.838,Critical,1077.0,Call this week: offer 1-year contract discount
3211-AAPKX,Month-to-month,20,98.55,No,5,0.837,Critical,1182.6,Call this week: offer 1-year contract discount
4029-HPFVY,Month-to-month,3,70.3,No,8,0.837,Critical,843.5999999999999,Call this week: offer 1-year contract discount
6833-JMZYP,Month-to-month,15,94.0,No,6,0.837,Critical,1128.0,Call this week: offer 1-year contract discount
3597-MVHJT,Month-to-month,27,95.6,No,6,0.836,Critical,1147.1999999999998,Call this week: offer 1-year contract discount
0620-DLSLK,Month-to-month,13,81.9,No,6,0.836,Critical,982.8000000000001,Call this week: offer 1-year contract discount
2739-CACDQ,Month-to-month,17,82.65,No,6,0.835,Critical,991.8000000000001,Call this week: offer 1-year contract discount
1016-DJTSV,Month-to-month,8,69.7,No,7,0.835,Critical,836.4000000000001,Call this week: offer 1-year contract discount
6137-NICCO,Month-to-month,6,94.05,No,8,0.835,Critical,1128.6,Call this week: offer 1-year contract discount
7714-YXSMB,Month-to-month,26,100.5,No,6,0.835,Critical,1206.0,Call this week: offer 1-year contract discount
9133-AYJZG,Month-to-month,23,98.7,No,6,0.835,Critical,1184.4,Call this week: offer 1-year contract discount
7465-ZZRVX,Month-to-month,1,70.35,No,8,0.835,Critical,844.1999999999999,Call this week: offer 1-year contract discount
4298-OYIFC,Month-to-month,15,103.45,No,5,0.835,Critical,1241.4,Call this week: offer 1-year contract discount
4983-CCWMC,Month-to-month,3,69.6,No,7,0.835,Critical,835.1999999999999,Call this week: offer 1-year contract discount
5628-FCGYG,Month-to-month,21,84.1,No,6,0.834,Critical,1009.1999999999999,Call this week: offer 1-year contract discount
5542-TBBWB,Month-to-month,1,69.9,No,7,0.834,Critical,838.8000000000001,Call this week: offer 1-year contract discount
5117-IFGPS,Month-to-month,29,84.3,No,6,0.834,Critical,1011.5999999999999,Call this week: offer 1-year contract discount
2657-VPXTA,Month-to-month,10,88.85,No,8,0.834,Critical,1066.1999999999998,Call this week: offer 1-year contract discount
3951-NJCVI,Month-to-month,42,95.05,No,6,0.833,Critical,1140.6,Call this week: offer 1-year contract discount
8714-CTZJW,Month-to-month,4,82.85,No,8,0.833,Critical,994.1999999999999,Call this week: offer 1-year contract discount
4853-OITSN,Month-to-month,5,89.15,No,8,0.833,Critical,1069.8000000000002,Call this week: offer 1-year contract discount
4612-SSVHJ,Month-to-month,20,81.45,No,6,0.832,Critical,977.4000000000001,Call this week: offer 1-year contract discount
6260-ONULR,Month-to-month,1,62.8,No,6,0.832,Critical,753.5999999999999,Call this week: offer 1-year contract discount
5405-ZMYXQ,Month-to-month,8,74.6,No,8,0.832,Critical,895.1999999999999,Call this week: offer 1-year contract discount
1640-PLFMP,Month-to-month,1,70.25,No,8,0.832,Critical,843.0,Call this week: offer 1-year contract discount
1251-STYSZ,Month-to-month,4,80.25,No,8,0.831,Critical,963.0,Call this week: offer 1-year contract discount
4813-HQMGZ,Month-to-month,8,90.25,No,7,0.831,Critical,1083.0,Call this week: offer 1-year contract discount
4647-MUZON,Month-to-month,18,95.95,No,6,0.831,Critical,1151.4,Call this week: offer 1-year contract discount
9717-QEBGU,Month-to-month,2,70.3,No,8,0.831,Critical,843.5999999999999,Call this week: offer 1-year contract discount
0196-JTUQI,Month-to-month,9,75.2,No,8,0.83,Critical,902.4000000000001,Call this week: offer 1-year contract discount
1932-UEDCX,Month-to-month,33,100.6,No,6,0.83,Critical,1207.1999999999998,Call this week: offer 1-year contract discount
2897-DOVND,Month-to-month,2,69.8,No,7,0.829,Critical,837.5999999999999,Call this week: offer 1-year contract discount
1508-DFXCU,Month-to-month,12,81.45,No,8,0.829,Critical,977.4000000000001,Call this week: offer 1-year contract discount
6116-RFVHN,Month-to-month,34,100.45,No,6,0.829,Critical,1205.4,Call this week: offer 1-year contract discount
9129-UXERG,Month-to-month,18,103.6,No,5,0.829,Critical,1243.1999999999998,Call this week: offer 1-year contract discount
0447-RXSGD,Month-to-month,24,99.65,No,6,0.828,Critical,1195.8000000000002,Call this week: offer 1-year contract discount
0396-YCHWO,Month-to-month,36,95.4,No,6,0.828,Critical,1144.8000000000002,Call this week: offer 1-year contract discount
8800-JOOCF,Month-to-month,12,84.05,No,8,0.828,Critical,1008.5999999999999,Call this week: offer 1-year contract discount
5216-WASFJ,Month-to-month,31,84.85,No,6,0.828,Critical,1018.1999999999999,Call this week: offer 1-year contract discount
1028-FFNJK,Month-to-month,30,101.5,No,5,0.828,Critical,1218.0,Call this week: offer 1-year contract discount
5937-EORGB,Month-to-month,15,96.5,No,6,0.828,Critical,1158.0,Call this week: offer 1-year contract discount
2800-VEQXM,Month-to-month,3,74.75,No,8,0.827,Critical,897.0,Call this week: offer 1-year contract discount
3196-NVXLZ,Month-to-month,25,84.6,No,6,0.827,Critical,1015.1999999999999,Call this week: offer 1-year contract discount
6198-RTPMF,Month-to-month,17,92.6,No,6,0.827,Critical,1111.1999999999998,Call this week: offer 1-year contract discount
7321-VGNKU,Month-to-month,2,70.35,No,8,0.827,Critical,844.1999999999999,Call this week: offer 1-year contract discount
7394-LWLYN,Month-to-month,2,70.15,No,8,0.827,Critical,841.8000000000001,Call this week: offer 1-year contract discount
3855-ONCAR,Month-to-month,4,78.9,No,8,0.827,Critical,946.8000000000001,Call this week: offer 1-year contract discount
4482-EWFMI,Month-to-month,2,69.7,No,7,0.826,Critical,836.4000000000001,Call this week: offer 1-year contract discount
1636-NTNCO,Month-to-month,4,50.95,No,6,0.826,Critical,611.4000000000001,Call this week: offer 1-year contract discount
3771-PZOBW,Month-to-month,20,90.7,No,6,0.826,Critical,1088.4,Call this week: offer 1-year contract discount
9208-OLGAQ,Month-to-month,18,84.95,No,6,0.826,Critical,1019.4000000000001,Call this week: offer 1-year contract discount
3191-CSNMG,Month-to-month,3,80.7,No,8,0.826,Critical,968.4000000000001,Call this week: offer 1-year contract discount
2439-LYPMQ,Month-to-month,38,102.6,No,6,0.825,Critical,1231.1999999999998,Call this week: offer 1-year contract discount
2081-VEYEH,Month-to-month,3,107.95,No,7,0.825,Critical,1295.4,Call this week: offer 1-year contract discount
7206-PQBBZ,Month-to-month,11,70.2,No,8,0.825,Critical,842.4000000000001,Call this week: offer 1-year contract discount
9796-BPKIW,Month-to-month,8,69.95,No,7,0.825,Critical,839.4000000000001,Call this week: offer 1-year contract discount
3703-KBKZP,Month-to-month,16,74.45,No,6,0.825,Critical,893.4000000000001,Call this week: offer 1-year contract discount
9314-IJWSQ,Month-to-month,14,84.8,No,6,0.824,Critical,1017.5999999999999,Call this week: offer 1-year contract discount
5599-HVLTW,Month-to-month,14,80.35,No,6,0.824,Critical,964.1999999999999,Call this week: offer 1-year contract discount
9633-XQABV,Month-to-month,3,70.25,No,8,0.824,Critical,843.0,Call this week: offer 1-year contract discount
6077-BDPXA,Month-to-month,3,70.15,No,8,0.823,Critical,841.8000000000001,Call this week: offer 1-year contract discount
0722-SVSFK,Month-to-month,7,100.4,No,7,0.823,Critical,1204.8000000000002,Call this week: offer 1-year contract discount
4450-DLLMH,Month-to-month,2,71.3,No,8,0.823,Critical,855.5999999999999,Call this week: offer 1-year contract discount
2984-AFWNC,Month-to-month,3,95.4,No,8,0.822,Critical,1144.8000000000002,Call this week: offer 1-year contract discount
7245-NIIWQ,Month-to-month,3,69.85,No,7,0.822,Critical,838.1999999999999,Call this week: offer 1-year contract discount
2959-FENLU,Month-to-month,9,85.3,No,8,0.822,Critical,1023.5999999999999,Call this week: offer 1-year contract discount
0928-XUTSN,Month-to-month,13,80.5,No,6,0.822,Critical,966.0,Call this week: offer 1-year contract discount
0411-EZJZE,Month-to-month,3,60.25,No,6,0.82,Critical,723.0,Call this week: offer 1-year contract discount
2070-XYMFH,Month-to-month,23,79.35,No,6,0.82,Critical,952.1999999999999,Call this week: offer 1-year contract discount
1666-JXLKU,Month-to-month,37,100.05,No,6,0.82,Critical,1200.6,Call this week: offer 1-year contract discount
4566-NECEV,Month-to-month,5,96.55,No,8,0.82,Critical,1158.6,Call this week: offer 1-year contract discount
2460-NGXBJ,Month-to-month,11,75.2,No,8,0.819,Critical,902.4000000000001,Call this week: offer 1-year contract discount
5482-VXSXJ,Month-to-month,22,93.2,No,6,0.819,Critical,1118.4,Call this week: offer 1-year contract discount
1104-TNLZA,Month-to-month,28,105.8,No,5,0.819,Critical,1269.6,Call this week: offer 1-year contract discount
1641-RQDAY,Month-to-month,32,100.4,No,6,0.818,Critical,1204.8000000000002,Call this week: offer 1-year contract discount
3427-GGZZI,Month-to-month,19,89.1,No,6,0.818,Critical,1069.1999999999998,Call this week: offer 1-year contract discount
6496-JDSSB,Month-to-month,8,80.0,No,8,0.817,Critical,960.0,Call this week: offer 1-year contract discount
6786-OBWQR,Month-to-month,5,80.85,No,8,0.817,Critical,970.1999999999999,Call this week: offer 1-year contract discount
2905-KFQUV,Month-to-month,2,70.4,No,8,0.817,Critical,844.8000000000001,Call this week: offer 1-year contract discount
8709-KRDVL,Month-to-month,33,100.0,No,6,0.817,Critical,1200.0,Call this week: offer 1-year contract discount
5947-SGKCL,Month-to-month,15,105.35,No,6,0.816,Critical,1264.1999999999998,Call this week: offer 1-year contract discount
1751-NCDLI,Month-to-month,46,98.85,No,6,0.816,Critical,1186.1999999999998,Call this week: offer 1-year contract discount
0958-YHXGP,Month-to-month,7,69.9,No,7,0.816,Critical,838.8000000000001,Call this week: offer 1-year contract discount
6030-REHUX,Month-to-month,28,110.85,No,5,0.815,Critical,1330.1999999999998,Call this week: offer 1-year contract discount
4301-VVZKA,Month-to-month,16,75.4,No,6,0.815,Critical,904.8000000000001,Call this week: offer 1-year contract discount
5692-ICXLW,Month-to-month,31,90.7,No,6,0.815,Critical,1088.4,Call this week: offer 1-year contract discount
4123-DVHPH,Month-to-month,9,88.05,No,8,0.815,Critical,1056.6,Call this week: offer 1-year contract discount
1212-GLHMD,Month-to-month,3,86.05,No,8,0.814,Critical,1032.6,Call this week: offer 1-year contract discount
3370-HXOPH,Month-to-month,3,76.1,No,8,0.813,Critical,913.1999999999999,Call this week: offer 1-year contract discount
2080-CAZNM,Month-to-month,41,104.4,No,6,0.812,Critical,1252.8000000000002,Call this week: offer 1-year contract discount
3317-VLGQT,Month-to-month,14,78.1,No,6,0.811,Critical,937.1999999999999,Call this week: offer 1-year contract discount
2504-DSHIH,Month-to-month,23,86.8,No,6,0.81,Critical,1041.6,Call this week: offer 1-year contract discount
6267-DCFFZ,Month-to-month,30,90.05,No,6,0.81,Critical,1080.6,Call this week: offer 1-year contract discount
9741-YLNTD,Month-to-month,6,87.95,No,7,0.81,Critical,1055.4,Call this week: offer 1-year contract discount
0018-NYROU,Month-to-month,5,68.95,No,7,0.81,Critical,827.4000000000001,Call this week: offer 1-year contract discount
3411-WLRSQ,Month-to-month,3,74.6,No,8,0.81,Critical,895.1999999999999,Call this week: offer 1-year contract discount
3453-RTHJQ,Month-to-month,6,69.1,No,7,0.809,Critical,829.1999999999999,Call this week: offer 1-year contract discount
7823-JSOAG,Month-to-month,3,74.5,No,8,0.809,Critical,894.0,Call this week: offer 1-year contract discount
1379-FRVEB,Month-to-month,15,91.0,No,6,0.808,Critical,1092.0,Call this week: offer 1-year contract discount
